onset	duration	run_number	trial_number	task	fixation_position
1295.431962	0	1	1	1	3
1299.039871	0	1	2	2	5
1302.63942	0	1	3	2	4
1306.247373	0	1	4	2	3
1309.855257	0	1	5	2	4
1313.463122	0	1	6	2	1
1317.062688	0	1	7	2	3
1320.662248	0	1	8	2	1
1324.26196	0	1	9	2	2
1327.861378	0	1	10	2	3
1331.460943	0	1	11	2	2
1335.060501	0	1	12	2	5
1338.660081	0	1	13	2	3
1342.267944	0	1	14	2	5
1345.867537	0	1	15	2	4
1349.467071	0	1	16	2	3
1353.06665	0	1	17	2	4
1356.666212	0	1	18	2	1
1360.265776	0	1	19	2	3
1363.86547	0	1	20	2	1
1367.464902	0	1	21	2	2
1371.064474	0	1	22	2	3
1374.664059	0	1	23	2	2
1378.263588	0	1	24	2	5
1381.863131	0	1	25	2	3
1387.870814	0	1	26	1	3
1391.478607	0	1	27	3	5
1395.078167	0	1	28	3	4
1398.677727	0	1	29	3	3
1402.277367	0	1	30	3	4
1405.876905	0	1	31	3	1
1409.476476	0	1	32	3	3
1413.084434	0	1	33	3	1
1416.683854	0	1	34	3	2
1420.283439	0	1	35	3	3
1423.882945	0	1	36	3	2
1427.482509	0	1	37	3	5
1431.082061	0	1	38	3	3
1434.681617	0	1	39	3	5
1438.281202	0	1	40	3	4
1441.880711	0	1	41	3	3
1445.480396	0	1	42	3	4
1449.07981	0	1	43	3	1
1452.679431	0	1	44	3	3
1456.287198	0	1	45	3	1
1459.886669	0	1	46	3	2
1463.494618	0	1	47	3	3
1467.094046	0	1	48	3	2
1470.69343	0	1	49	3	5
1474.293031	0	1	50	3	3
1480.292036	0	1	51	1	3
1483.891498	0	1	52	4	5
1487.490969	0	1	53	4	4
1491.090509	0	1	54	4	3
1494.689901	0	1	55	4	4
1498.289399	0	1	56	4	1
1501.888865	0	1	57	4	3
1505.488485	0	1	58	4	1
1509.087825	0	1	59	4	2
1512.687267	0	1	60	4	3
1516.295226	0	1	61	4	2
1519.89473	0	1	62	4	5
1523.49414	0	1	63	4	3
1527.093517	0	1	64	4	5
1530.692959	0	1	65	4	4
1534.300865	0	1	66	4	3
1537.900276	0	1	67	4	4
1541.499755	0	1	68	4	1
1545.09932	0	1	69	4	3
1548.69868	0	1	70	4	1
1552.298186	0	1	71	4	2
1555.905993	0	1	72	4	3
1559.505431	0	1	73	4	2
1563.1049	0	1	74	4	5
1566.704427	0	1	75	4	3
1572.703493	0	1	76	1	3
